driverId,driverRef,forename,surname,Pais,Vitorias
1,hamilton,Lewis,Hamilton,British,105
30,michael_schumacher,Michael,Schumacher,German,91
830,max_verstappen,Max,Verstappen,Dutch,63
20,vettel,Sebastian,Vettel,German,53
117,prost,Alain,Prost,French,51
102,senna,Ayrton,Senna,Brazilian,41
4,alonso,Fernando,Alonso,Spanish,32
95,mansell,Nigel,Mansell,British,31
328,stewart,Jackie,Stewart,British,27
182,lauda,Niki,Lauda,Austrian,25
373,clark,Jim,Clark,British,25
579,fangio,Juan,Fangio,Argentine,24
137,piquet,Nelson,Piquet,Brazilian,23
3,rosberg,Nico,Rosberg,German,23
71,damon_hill,Damon,Hill,British,22
8,raikkonen,Kimi,Räikkönen,Finnish,21
57,hakkinen,Mika,Häkkinen,Finnish,20
