Piloto,Vitorias
hamilton,105
michael_schumacher,91
max_verstappen,63
vettel,53
prost,51
senna,41
alonso,32
mansell,31
stewart,27
clark,25
lauda,25
fangio,24
piquet,23
rosberg,23
damon_hill,22
raikkonen,21
hakkinen,20
moss,16
button,15
jack_brabham,14
hill,14
emerson_fittipaldi,14
coulthard,13
ascari,13
reutemann,12
mario_andretti,12
jones,12
barrichello,11
villeneuve,11
massa,11
berger,10
hunt,10
bottas,10
peterson,10
scheckter,10
webber,9
ickx,8
hulme,8
leclerc,8
ricciardo,8
arnoux,7
montoya,7
gilles_villeneuve,6
patrese,6
perez,6
surtees,6
laffite,6
ralf_schumacher,6
rindt,6
brooks,6
farina,5
watson,5
alboreto,5
keke_rosberg,5
regazzoni,5
sainz,4
mclaren,4
irvine,4
gurney,4
norris,4
russell,3
boutsen,3
hawthorn,3
collins,3
herbert,3
pironi,3
phil_hill,3
fisichella,3
frentzen,3
angelis,2
depailler,2
trips,2
siffert,2
tambay,2
gonzalez,2
trintignant,2
jabouille,2
piastri,2
rodriguez,2
vukovich,2
revson,2
scarfiotti,1
flaherty,1
baghetti,1
mass,1
kovalainen,1
taruffi,1
kubica,1
cevert,1
beltoise,1
ruttman,1
rathmann,1
gethin,1
trulli,1
gasly,1
parsons,1
maldonado,1
ginther,1
panis,1
bonnier,1
musso,1
brambilla,1
sweikert,1
ireland,1
ocon,1
nannini,1
bryan,1
hanks,1
bandini,1
wallard,1
alesi,1
pace,1
nilsson,1
ward,1
fagioli,1
