Driver,Lap Number,Lap Time,Position,Time,Sector 1,Sector 2,Sector 3
VER,1.0,0 days 00:01:59.392000,5.0,0 days 01:13:00.002000,,0 days 00:00:20.705000,0 days 00:00:55.250000
VER,2.0,,2.0,0 days 01:15:49.358000,0 days 00:00:58.141000,0 days 00:00:37.976000,0 days 00:01:13.205000
VER,3.0,,2.0,0 days 01:18:31.526000,0 days 00:00:56.230000,0 days 00:00:33.683000,0 days 00:01:12.232000
VER,4.0,,2.0,0 days 01:21:07.226000,0 days 00:00:54.351000,0 days 00:00:32.712000,0 days 00:01:08.712000
VER,5.0,0 days 00:02:23.609000,2.0,0 days 01:23:30.835000,0 days 00:00:53.513000,0 days 00:00:32.627000,0 days 00:00:57.469000
VER,6.0,0 days 00:02:19.654000,2.0,0 days 01:25:50.489000,0 days 00:00:47.887000,0 days 00:00:33.228000,0 days 00:00:58.539000
VER,7.0,0 days 00:02:16.447000,2.0,0 days 01:28:06.936000,0 days 00:00:45.898000,0 days 00:00:29.735000,0 days 00:01:00.814000
VER,8.0,0 days 00:01:36.830000,2.0,0 days 01:29:43.766000,0 days 00:00:35.249000,0 days 00:00:20.145000,0 days 00:00:41.436000
VER,9.0,0 days 00:01:34.315000,2.0,0 days 01:31:18.081000,0 days 00:00:33.850000,0 days 00:00:19.608000,0 days 00:00:40.857000
VER,10.0,0 days 00:01:32.650000,2.0,0 days 01:32:50.731000,0 days 00:00:33.117000,0 days 00:00:19.414000,0 days 00:00:40.119000
VER,11.0,0 days 00:01:32.453000,2.0,0 days 01:34:23.184000,0 days 00:00:33.017000,0 days 00:00:19.392000,0 days 00:00:40.044000
VER,12.0,0 days 00:01:31.591000,2.0,0 days 01:35:54.775000,0 days 00:00:32.767000,0 days 00:00:19.302000,0 days 00:00:39.522000
VER,13.0,0 days 00:01:31.271000,2.0,0 days 01:37:26.046000,0 days 00:00:32.572000,0 days 00:00:19.292000,0 days 00:00:39.407000
VER,14.0,0 days 00:01:30.639000,2.0,0 days 01:38:56.685000,0 days 00:00:32.137000,0 days 00:00:19.124000,0 days 00:00:39.378000
VER,15.0,0 days 00:01:30.328000,2.0,0 days 01:40:27.013000,0 days 00:00:31.945000,0 days 00:00:18.879000,0 days 00:00:39.504000
VER,16.0,0 days 00:01:30.592000,2.0,0 days 01:41:57.605000,0 days 00:00:31.921000,0 days 00:00:19.071000,0 days 00:00:39.600000
VER,17.0,0 days 00:01:33.392000,3.0,0 days 01:43:30.997000,0 days 00:00:32.432000,0 days 00:00:19.003000,0 days 00:00:41.957000
VER,18.0,0 days 00:01:32.169000,3.0,0 days 01:45:03.166000,0 days 00:00:32.550000,0 days 00:00:18.956000,0 days 00:00:40.663000
VER,19.0,0 days 00:01:31.939000,3.0,0 days 01:46:35.105000,0 days 00:00:32.547000,0 days 00:00:19.002000,0 days 00:00:40.390000
VER,20.0,0 days 00:01:31.598000,3.0,0 days 01:48:06.703000,0 days 00:00:32.354000,0 days 00:00:19.009000,0 days 00:00:40.235000
VER,21.0,0 days 00:01:31.177000,3.0,0 days 01:49:37.880000,0 days 00:00:32.272000,0 days 00:00:18.898000,0 days 00:00:40.007000
VER,22.0,0 days 00:01:31.040000,3.0,0 days 01:51:08.920000,0 days 00:00:32.480000,0 days 00:00:18.943000,0 days 00:00:39.617000
VER,23.0,0 days 00:01:30.686000,3.0,0 days 01:52:39.606000,0 days 00:00:32.099000,0 days 00:00:18.912000,0 days 00:00:39.675000
VER,24.0,0 days 00:01:30.978000,3.0,0 days 01:54:10.584000,0 days 00:00:32.243000,0 days 00:00:18.994000,0 days 00:00:39.741000
