Driver,Lap Number,Pit Out Time,Pit In Time
VER,3.0,0 days 01:15:51.658000,0 days 01:18:20.223000
VER,4.0,0 days 01:18:34.029000,0 days 01:20:56.543000
VER,5.0,0 days 01:21:09.534000,
VER,35.0,0 days 02:09:43.218000,
VER,47.0,0 days 02:33:01.788000,
GAS,3.0,0 days 01:16:08.591000,0 days 01:18:36.076000
GAS,4.0,0 days 01:18:51.914000,0 days 01:21:12.398000
GAS,5.0,0 days 01:21:27.130000,
GAS,34.0,0 days 02:08:37.599000,
GAS,47.0,0 days 02:33:14.929000,
ANT,3.0,0 days 01:16:16.265000,0 days 01:18:43.529000
ANT,4.0,0 days 01:18:59.964000,0 days 01:21:21.148000
ANT,5.0,0 days 01:21:35.283000,
ANT,34.0,0 days 02:08:42.155000,
ANT,45.0,0 days 02:30:06.012000,
ALO,3.0,0 days 01:16:10.400000,0 days 01:18:37.191000
ALO,4.0,0 days 01:18:53.529000,0 days 01:21:13.968000
ALO,5.0,0 days 01:21:29.030000,
LEC,3.0,0 days 01:15:58.544000,0 days 01:18:26.003000
LEC,4.0,0 days 01:18:40.624000,0 days 01:21:02.246000
LEC,5.0,0 days 01:21:16.471000,
LEC,35.0,0 days 02:10:13.161000,
LEC,48.0,0 days 02:35:31.368000,
STR,3.0,0 days 01:16:13.028000,0 days 01:18:40.020000
STR,4.0,0 days 01:18:56.155000,0 days 01:21:17.105000
STR,5.0,0 days 01:21:31.574000,
STR,34.0,0 days 02:09:03.663000,
STR,45.0,0 days 02:30:03.907000,
TSU,3.0,0 days 01:16:01.530000,0 days 01:18:29.345000
TSU,4.0,0 days 01:18:44.490000,0 days 01:21:06.137000
TSU,5.0,0 days 01:21:19.691000,
TSU,34.0,0 days 02:08:32.258000,
TSU,48.0,0 days 02:35:32.932000,
ALB,3.0,0 days 01:16:03.745000,0 days 01:18:31.238000
ALB,4.0,0 days 01:18:48.304000,0 days 01:21:07.775000
ALB,5.0,0 days 01:21:22.068000,
ALB,34.0,0 days 02:08:32.903000,
ALB,45.0,0 days 02:30:00.469000,
HUL,3.0,0 days 01:16:14.730000,0 days 01:18:41.760000
HUL,4.0,0 days 01:18:57.772000,0 days 01:21:19.330000
HUL,5.0,0 days 01:21:33.532000,
HUL,34.0,0 days 02:09:14.269000,
HUL,45.0,0 days 02:30:06.468000,
LAW,1.0,0 days 01:11:10.858000,
LAW,3.0,0 days 01:16:22.171000,0 days 01:18:50.242000
LAW,4.0,0 days 01:19:06.403000,0 days 01:21:27.905000
LAW,5.0,0 days 01:21:46.674000,
LAW,34.0,0 days 02:09:30.536000,
OCO,3.0,0 days 01:16:19.513000,0 days 01:18:47.469000
OCO,4.0,0 days 01:19:04.029000,0 days 01:21:25.943000
OCO,5.0,0 days 01:21:45.607000,
OCO,40.0,0 days 02:22:56.609000,
OCO,47.0,0 days 02:34:34.762000,
NOR,3.0,0 days 01:15:50.143000,0 days 01:18:18.691000
NOR,4.0,0 days 01:18:31.544000,0 days 01:20:54.690000
NOR,5.0,0 days 01:21:07.473000,
NOR,35.0,0 days 02:09:18.613000,
NOR,45.0,0 days 02:29:51.347000,
HAM,3.0,0 days 01:16:05.978000,0 days 01:18:33.930000
HAM,4.0,0 days 01:18:50.272000,0 days 01:21:09.633000
HAM,5.0,0 days 01:21:24.483000,
HAM,34.0,0 days 02:08:34.670000,
HAM,48.0,0 days 02:35:25.627000,
BOR,3.0,0 days 01:16:17.705000,0 days 01:18:45.520000
BOR,4.0,0 days 01:19:01.883000,0 days 01:21:23.257000
BOR,5.0,0 days 01:21:37.664000,
BOR,34.0,0 days 02:09:23.220000,
BOR,45.0,0 days 02:30:21.968000,
RUS,3.0,0 days 01:15:55.644000,0 days 01:18:23.749000
RUS,4.0,0 days 01:18:37.950000,0 days 01:21:00.668000
RUS,5.0,0 days 01:21:14.431000,
RUS,35.0,0 days 02:10:05.197000,
RUS,45.0,0 days 02:29:59.594000,
PIA,3.0,0 days 01:15:53.106000,0 days 01:18:21.675000
PIA,4.0,0 days 01:18:35.632000,0 days 01:20:58.263000
PIA,5.0,0 days 01:21:11.064000,
PIA,35.0,0 days 02:09:26.718000,
PIA,45.0,0 days 02:31:19.599000,
BEA,1.0,0 days 01:11:12.042000,
BEA,3.0,0 days 01:16:23.180000,0 days 01:18:51.042000
BEA,4.0,0 days 01:19:07.407000,0 days 01:21:30.664000
BEA,5.0,0 days 01:21:52.962000,
BEA,40.0,0 days 02:23:05.453000,
BEA,45.0,0 days 02:31:29.994000,
