Abbreviation,Full Name,Status
NOR,Lando Norris,Finished
VER,Max Verstappen,Finished
RUS,George Russell,Finished
ANT,Andrea Kimi Antonelli,Finished
ALB,Alexander Albon,Finished
STR,Lance Stroll,Finished
HUL,Nico Hulkenberg,Finished
LEC,Charles Leclerc,Finished
PIA,Oscar Piastri,Finished
HAM,Lewis Hamilton,Finished
GAS,Pierre Gasly,Finished
TSU,Yuki Tsunoda,Finished
OCO,Esteban Ocon,Finished
BEA,Oliver Bearman,Finished
LAW,Liam Lawson,Retired
BOR,Gabriel Bortoleto,Retired
ALO,Fernando Alonso,Retired
SAI,Carlos Sainz,Retired
DOO,Jack Doohan,Retired
HAD,Isack Hadjar,Retired
